Language,Brazilian,Czech,Danish,Dutch,English,Esperanto,Finnish,German,Italian,Norwegian,Polish,Spanish,Swedish
3.505,bossa,,,,,,,,,,,,
3.515,bomba,,,,,,,,,,,,
3.522,batom,,,,,,,,,,,,
3.532,bombom,,,,,,,,,,,,
3.535,burro,,,,,,,,,,,,
3.542,dados,,,,,,,,,,,,
3.545,dossiê,,,,,,,,,,,,
3.552,doido,,,,,,,,,,,,
3.555,morse,,,,,,,,,,,,
3.565,modulo,,,,,,,,,,,,
3.572,senha,,,,,,,,,,,,
3.575,serial,,,,,,,,,,,,
3.582,samba,,,,,,,,,,,,
3.592,chave,,,,,,,,,,,,
3.595,codigo,,,,,,,,,,,,
3.600,conta,,,,,,,,,,,,
