Language,Brazilian,Czech,Danish,Dutch,English,Esperanto,Finnish,German,Italian,Norwegian,Polish,Spanish,Swedish
Word 1,PRONTO,,,,,,,,,,,,
Series 1,ISSO|BELEZA|QUÊ|MEIO|ESQUERDA|APERTA|DIREITA|BRANCO|PRONTO,,,,,,,,,,,,
Word 2,PRIMEIRO,,,,,,,,,,,,
Series 2,ESQUERDA|BELEZA|ISSO|MEIO|NÃO|DIREITA|NADA|SEIS|ESPERA|PRONTO|BRANCO|QUÊ|APERTA|PRIMEIRO,,,,,,,,,,,,
Word 3,NÃO,,,,,,,,,,,,
Series 3,BRANCO|SEIS|ESPERA|PRIMEIRO|QUÊ|PRONTO|DIREITA|ISSO|NADA|ESQUERDA|APERTA|BELEZA|NÃO,,,,,,,,,,,,
Word 4,BRANCO,,,,,,,,,,,,
Series 4,ESPERA|DIREITA|BELEZA|MEIO|BRANCO,,,,,,,,,,,,
Word 5,NADA,,,,,,,,,,,,
Series 5,SEIS|DIREITA|BELEZA|MEIO|ISSO|BRANCO|NÃO|APERTA|ESQUERDA|QUÊ|ESPERA|PRIMEIRO|NADA,,,,,,,,,,,,
Word 6,ISSO,,,,,,,,,,,,
Series 6,BELEZA|DIREITA|SEIS|MEIO|PRIMEIRO|QUÊ|APERTA|PRONTO|NADA|ISSO,,,,,,,,,,,,
Word 7,QUÊ,,,,,,,,,,,,
Series 7,SEIS|QUÊ,,,,,,,,,,,,
Word 8,SEIS,,,,,,,,,,,,
Series 8,PRONTO|NADA|ESQUERDA|QUÊ|BELEZA|ISSO|DIREITA|NÃO|APERTA|BRANCO|SEIS,,,,,,,,,,,,
Word 9,ESQUERDA,,,,,,,,,,,,
Series 9,DIREITA|ESQUERDA,,,,,,,,,,,,
Word 10,DIREITA,,,,,,,,,,,,
Series 10,ISSO|NADA|PRONTO|APERTA|NÃO|ESPERA|QUÊ|DIREITA,,,,,,,,,,,,
Word 11,MEIO,,,,,,,,,,,,
Series 11,BRANCO|PRONTO|BELEZA|QUÊ|NADA|APERTA|NÃO|ESPERA|ESQUERDA|MEIO,,,,,,,,,,,,
Word 12,BELEZA,,,,,,,,,,,,
Series 12,MEIO|NÃO|PRIMEIRO|ISSO|SEIS|NADA|ESPERA|BELEZA,,,,,,,,,,,,
Word 13,ESPERA,,,,,,,,,,,,
Series 13,SEIS|NÃO|BRANCO|BELEZA|ISSO|ESQUERDA|PRIMEIRO|APERTA|QUÊ|ESPERA,,,,,,,,,,,,
Word 14,APERTA,,,,,,,,,,,,
Series 14,DIREITA|MEIO|ISSO|PRONTO|APERTA,,,,,,,,,,,,
Word 15,VOCÊ,,,,,,,,,,,,
Series 15,SEI|VOCÊ É|C|CÊ É|PRÓXIMO|CESTO|C E|SEGURA|QUÊ?|VOCÊ,,,,,,,,,,,,
Word 16,VOCÊ É,,,,,,,,,,,,
Series 16,C|PRÓXIMO|TIPO|CESTO|QUÊ?|FOI|SEXTO|SEGURA|VOCÊ|CÊ|CÊ É|SEI|C E|VOCÊ É,,,,,,,,,,,,
Word 17,C,,,,,,,,,,,,
Series 17,SEXTO|VOCÊ É|CESTO|C,,,,,,,,,,,,
Word 18,CÊ É,,,,,,,,,,,,
Series 18,VOCÊ|CÊ É,,,,,,,,,,,,
Word 19,C E,,,,,,,,,,,,
Series 19,FOI|CÊ|C E,,,,,,,,,,,,
Word 20,CÊ,,,,,,,,,,,,
Series 20,CESTO|SEI|PRÓXIMO|QUÊ?|CÊ É|C E,,,,,,,,,,,,
Word 21,CESTO,,,,,,,,,,,,
Series 21,CESTO,,,,,,,,,,,,
Word 22,SEXTO,,,,,,,,,,,,
Series 22,C E|CÊ|VOCÊ É|CÊ É|PRÓXIMO|SEXTO,,,,,,,,,,,,
Word 23,QUÊ?,,,,,,,,,,,,
Series 23,VOCÊ|SEGURA|CÊ É|C|CÊ|FOI|SEXTO|TIPO|VOCÊ É|CESTO|C E|PRÓXIMO|QUÊ?,,,,,,,,,,,,
Word 24,FOI,,,,,,,,,,,,
Series 24,SEI|CESTO|PRÓXIMO|QUÊ?|C|C E|CÊ É|SEGURA|TIPO|VOCÊ|CÊ|VOCÊ É|SEXTO|FOI,,,,,,,,,,,,
Word 25,PRÓXIMO,,,,,,,,,,,,
Series 25,QUÊ?|CESTO|SEXTO|C|SEGURA|SEI|PRÓXIMO,,,,,,,,,,,,
Word 26,SEGURA,,,,,,,,,,,,
Series 26,VOCÊ É|CÊ|FOI|SEXTO|VOCÊ|C E|SEI|QUÊ?|CÊ É|PRÓXIMO|SEGURA,,,,,,,,,,,,
Word 27,SEI,,,,,,,,,,,,
Series 27,VOCÊ É|FOI|TIPO|CÊ É|VOCÊ|SEGURA|CESTO|C E|SEI,,,,,,,,,,,,
Word 28,TIPO,,,,,,,,,,,,
Series 28,CÊ É|PRÓXIMO|CÊ|C E|SEGURA|FOI|SEXTO|QUÊ?|CESTO|VOCÊ|TIPO,,,,,,,,,,,,
