Language,Brazilian,Czech,Danish,Dutch,English,Esperanto,Finnish,German,Italian,Norwegian,Polish,Spanish,Swedish
1,achar,,,,,,,,,,,,
2,aluno,,,,,,,,,,,,
3,baixo,,,,,,,,,,,,
4,breve,,,,,,,,,,,,
5,caixa,,,,,,,,,,,,
6,canto,,,,,,,,,,,,
7,carta,,,,,,,,,,,,
8,certo,,,,,,,,,,,,
9,cinco,,,,,,,,,,,,
10,coisa,,,,,,,,,,,,
11,disco,,,,,,,,,,,,
12,falar,,,,,,,,,,,,
13,horas,,,,,,,,,,,,
14,letra,,,,,,,,,,,,
15,livro,,,,,,,,,,,,
16,lugar,,,,,,,,,,,,
17,menor,,,,,,,,,,,,
18,menos,,,,,,,,,,,,
19,mesmo,,,,,,,,,,,,
20,mundo,,,,,,,,,,,,
21,nobre,,,,,,,,,,,,
22,nunca,,,,,,,,,,,,
23,ontem,,,,,,,,,,,,
24,outro,,,,,,,,,,,,
25,parou,,,,,,,,,,,,
26,pensa,,,,,,,,,,,,
27,pobre,,,,,,,,,,,,
28,ponto,,,,,,,,,,,,
29,praia,,,,,,,,,,,,
30,salas,,,,,,,,,,,,
31,sobre,,,,,,,,,,,,
32,terra,,,,,,,,,,,,
33,troca,,,,,,,,,,,,
34,trono,,,,,,,,,,,,
35,verde,,,,,,,,,,,,
