V HOTEL DONE SEARCH QUEBEC BOOM SUBMIT LINE BLUE
U DONE SEARCH ADD CHECK LINE BLUE KABOOM ECHO
S ADD CHECK SIERRA FIND KABOOM ECHO PANIC FALSE
Z SIERRA FIND FINISH EAST PANIC FALSE MANUAL ALARM
P PORT COLOR BOOM SUBMIT SEE TWENTY INDIA NORTH
Q BOOM SUBMIT LINE BLUE INDIA NORTH NUMBER LOOK
N LINE BLUE KABOOM ECHO NUMBER LOOK ZULU GREEN
X KABOOM ECHO PANIC FALSE ZULU GREEN VICTOR XRAY
F PANIC FALSE MANUAL ALARM VICTOR XRAY DELTA YES
Y MANUAL ALARM DECOY CALL DELTA YES HELP LOCATE
T SEE TWENTY INDIA NORTH ROMEO BEEP TRUE EXPERT
I INDIA NORTH NUMBER LOOK TRUE EXPERT MIKE EDGE
M NUMBER LOOK ZULU GREEN MIKE EDGE FOUND RED
E ZULU GREEN VICTOR XRAY FOUND RED BOMBS WORD
D VICTOR XRAY DELTA YES BOMBS WORD WORK UNIQUE
A DELTA YES HELP LOCATE WORK UNIQUE TEST JINX
K ROMEO BEEP TRUE EXPERT GOLF LETTER TALK SIX
B TRUE EXPERT MIKE EDGE TALK SIX BRAVO SERIAL
W MIKE EDGE FOUND RED BRAVO SERIAL SEVEN TIMER
H FOUND RED BOMBS WORD SEVEN TIMER MODULE SPELL
J BOMBS WORD WORK UNIQUE MODULE SPELL LIST TANGO
O WORK UNIQUE TEST JINX LIST TANGO YANKEE SOLVE
R TALK SIX BRAVO SERIAL CHART OSCAR MATH NEXT
L BRAVO SERIAL SEVEN TIMER MATH NEXT READ LISTEN
C SEVEN TIMER MODULE SPELL SEVEN TIMER MODULE SPELL
G MODULE SPELL LIST TANGO LIMA FOUR COUNT OFFICE
